,loss,acc,val_loss,val_acc
0,0.47104166716337204,0.7630000114440918,0.20511813916265964,0.9259999990463257
1,0.26506626725196836,0.8930000066757202,0.1327765876054764,0.9490000009536743
2,0.21409252297133208,0.9120000004768372,0.11070938356220722,0.9589999914169312
3,0.1727711634337902,0.9300000071525574,0.10657419947907329,0.9580000042915344
4,0.13962785152718424,0.9445000290870667,0.10420200309483335,0.9570000171661377
5,0.13874332255683838,0.9434999823570251,0.11811789468396455,0.9549999833106995
6,0.12077404016628862,0.9459999799728394,0.09998191811610013,0.9639999866485596
7,0.10263966376893223,0.9589999914169312,0.10114014675258659,0.9670000076293945
8,0.09955070351017639,0.9664999842643738,0.08711357977677835,0.9670000076293945
9,0.10375517592998222,0.9559999704360962,0.09079967086669058,0.9679999947547913
10,0.06763528152077924,0.9710000157356262,0.11279949377349112,0.9580000042915344
11,0.07217414927741629,0.9760000109672546,0.11608305574176483,0.9610000252723694
12,0.06853134535136633,0.9735000133514404,0.12072685051964072,0.9620000123977661
13,0.07625411540328059,0.9714999794960022,0.10514793264563195,0.9670000076293945
14,0.0674685821562889,0.9760000109672546,0.09665868609532481,0.9700000286102295
15,0.05169685317949188,0.9835000038146973,0.09401891739020357,0.9700000286102295
16,0.04659127524588257,0.9819999933242798,0.10780891604009867,0.972000002861023
17,0.0535547772103746,0.9800000190734863,0.07542497751768679,0.9739999771118164
18,0.05625652213057038,0.9819999933242798,0.15624430319323437,0.9599999785423279
19,0.05006411579539417,0.9835000038146973,0.11005323166304151,0.9679999947547913
20,0.04484032879558072,0.9869999885559082,0.11355665289527508,0.9729999899864197
21,0.053764509524335154,0.9819999933242798,0.17435276535863523,0.9610000252723694
22,0.04363831311176909,0.9825000166893005,0.12339550827935454,0.968999981880188
23,0.050442552175700255,0.9850000143051147,0.11511436596604313,0.9639999866485596
24,0.0395104470293154,0.9865000247955322,0.3489898667280795,0.921999990940094
25,0.04231662204646909,0.9879999756813049,0.1401954599502278,0.9660000205039978
26,0.03424540764239282,0.9890000224113464,0.30618310408208343,0.9480000138282776
27,0.034428961780731696,0.9894999861717224,0.09285761393597568,0.9700000286102295
28,0.04547128475704085,0.9865000247955322,0.1387449715740513,0.9679999947547913
29,0.03532675286238373,0.9869999885559082,0.17191015143504046,0.9629999995231628
